GEOID,Total_Population,Median_Household_Income,Pct_White,Pct_Black,Pct_Hispanic,Pct_Poverty,Pct_Bachelors_Plus
060371154042,1372.0,75893.0,19.39,1.24,53.57,11.3,35.86
060371171011,1926.0,128582.0,40.81,5.82,50.88,3.17,45.66
060371171012,1362.0,98646.0,37.81,10.65,13.07,7.12,29.74
060371171013,1945.0,76553.0,11.88,7.25,43.75,22.95,37.98
060371171021,1120.0,125052.0,29.46,0.89,67.86,12.61,22.98
060371171022,1307.0,73077.0,40.09,5.28,51.03,7.14,26.58
060371172011,1329.0,103636.0,35.36,0.0,65.99,4.38,14.43
060371172013,1604.0,52788.0,12.59,3.12,53.37,24.38,34.83
060371172021,1836.0,89250.0,33.17,4.08,42.76,8.56,31.98
060371172022,982.0,133295.0,35.23,8.55,33.6,13.95,36.97
060371173011,1516.0,146384.0,43.34,3.17,32.59,4.16,52.49
060371173012,1570.0,148482.0,44.08,2.1,61.72,8.03,34.26
060371173013,722.0,114444.0,42.24,11.63,38.37,2.63,31.67
060371173021,1291.0,108333.0,33.62,7.9,10.77,7.77,39.87
060371173022,786.0,118458.0,67.94,0.0,24.94,1.27,34.2
060371173023,1337.0,166544.0,58.79,1.65,36.8,4.41,59.18
060371173024,1536.0,90568.0,30.86,10.42,44.34,11.65,41.4
060371173031,2380.0,145286.0,54.33,0.21,37.23,11.82,36.07
060371173032,1782.0,126527.0,15.77,1.74,69.92,1.01,12.8
060371174042,1547.0,159635.0,36.26,0.0,57.79,6.29,45.1
060371174043,2940.0,119239.0,25.99,10.61,48.88,13.3,47.33
060371174051,2516.0,49813.0,7.07,0.87,95.39,30.74,4.01
060371174052,532.0,48958.0,32.71,1.32,72.74,15.23,17.77
060371174071,809.0,48385.0,6.3,2.35,88.5,25.19,8.63
060371174072,2376.0,55408.0,12.08,0.84,94.91,31.19,5.28
060371174081,2505.0,49786.0,12.89,9.18,75.49,37.49,11.69
060371175101,533.0,54628.0,38.46,2.06,74.67,12.38,2.47
060371175102,1561.0,64444.0,16.59,5.0,75.46,39.49,6.96
060371175103,1696.0,45272.0,9.79,11.91,83.02,14.03,6.23
060371175201,2115.0,57174.0,17.49,3.17,76.69,37.45,9.95
060371175202,2230.0,43462.0,6.05,0.27,93.5,43.76,3.6
060371175301,1128.0,25518.0,9.13,2.66,83.6,53.28,5.7
060371175302,1462.0,75500.0,12.79,0.0,77.36,20.25,12.92
060371175303,1908.0,64940.0,30.03,8.28,50.79,18.61,21.7
060371175304,1243.0,46641.0,11.18,1.37,81.26,36.93,10.69
060371190011,2183.0,132743.0,19.24,0.41,59.92,6.28,22.39
060371190012,2100.0,106607.0,31.57,0.43,74.86,12.29,19.88
060371190032,1221.0,109428.0,60.2,0.0,85.34,0.49,8.67
060371190033,1211.0,107955.0,7.76,0.0,92.9,11.48,15.35
060371190042,2087.0,92159.0,35.12,0.0,87.11,9.92,9.72
060371192011,858.0,125573.0,36.25,1.52,82.75,2.33,12.16
060371192012,1717.0,106130.0,14.33,0.0,87.19,13.53,9.57
060371192013,1401.0,117550.0,6.78,1.71,89.36,7.99,19.92
