time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_cf_1,pm2.5_cf_1_b,sensor_index,latitude,longitude
1684882800,46.0,79.0,999.64,8.8,8.8,12.6,1680,34.09655,-117.97032
1684807200,46.0,80.0,998.92,9.7,9.7,13.7,1680,34.09655,-117.97032
1681264800,44.0,76.0,999.98,14.5,14.5,20.1,1680,34.09655,-117.97032
1679666400,60.0,55.0,1010.26,4.8,4.8,7.0,1680,34.09655,-117.97032
1679634000,58.0,62.0,1009.44,3.1,3.1,4.6,1680,34.09655,-117.97032
1683608400,45.0,72.0,1002.48,2.2,2.2,3.6,1680,34.09655,-117.97032
1680634800,15.0,76.0,1005.37,0.1,0.1,0.1,1680,34.09655,-117.97032
1676275200,51.0,61.0,998.88,6.2,6.2,8.6,1680,34.09655,-117.97032
1686628800,47.0,74.0,1003.49,2.0,2.0,3.3,1680,34.09655,-117.97032
1686646800,55.0,72.0,1003.53,4.8,4.8,7.2,1680,34.09655,-117.97032
1684494000,55.0,72.0,1001.49,21.5,21.8,29.1,1680,34.09655,-117.97032
1684483200,55.0,72.0,1001.0,14.5,14.5,20.0,1680,34.09655,-117.97032
1687111200,48.0,81.0,1000.05,14.2,14.2,20.2,1680,34.09655,-117.97032
1687129200,34.0,91.0,997.83,5.9,5.9,8.7,1680,34.09655,-117.97032
1687662000,39.0,80.0,1002.18,6.2,6.2,9.4,1680,34.09655,-117.97032
1678341600,46.0,62.0,1007.07,3.4,3.4,5.0,1680,34.09655,-117.97032
1678384800,32.0,76.0,1005.83,17.8,17.8,24.5,1680,34.09655,-117.97032
1678388400,27.0,80.0,1005.58,14.9,14.9,20.7,1680,34.09655,-117.97032
1678363200,50.0,58.0,1005.5,7.4,7.4,11.0,1680,34.09655,-117.97032
1678327200,38.0,66.0,1005.88,2.0,2.0,3.2,1680,34.09655,-117.97032
1683417600,28.0,80.0,1003.87,0.6,0.6,1.1,1680,34.09655,-117.97032
1683432000,43.0,70.0,1005.31,1.9,1.9,3.1,1680,34.09655,-117.97032
1683439200,48.0,69.0,1005.22,2.6,2.6,4.0,1680,34.09655,-117.97032
1683428400,39.0,72.0,1005.06,1.2,1.2,2.2,1680,34.09655,-117.97032
1683424800,34.0,74.0,1004.45,1.1,1.1,2.0,1680,34.09655,-117.97032
1675404000,39.0,63.0,1011.12,15.1,15.1,20.5,1680,34.09655,-117.97032
1675411200,40.0,60.0,1010.15,8.1,8.1,11.4,1680,34.09655,-117.97032
1680897600,20.0,87.0,1003.04,7.4,7.4,10.7,1680,34.09655,-117.97032
1684663200,54.0,74.0,1002.82,20.9,21.0,28.6,1680,34.09655,-117.97032
1684688400,45.0,82.0,1002.62,22.6,23.1,31.6,1680,34.09655,-117.97032
1688079600,,,,8.9,8.9,13.2,1680,34.09655,-117.97032
1688061600,,,,17.7,17.7,25.4,1680,34.09655,-117.97032
1686398400,54.0,72.0,999.17,11.9,11.9,16.8,1680,34.09655,-117.97032
1681470000,60.0,63.0,998.46,3.0,3.0,4.4,1680,34.09655,-117.97032
1681437600,58.0,65.0,997.35,5.0,5.0,7.2,1680,34.09655,-117.97032
